timestamp,survey_id,agent_id,city_id,collection_channel,gender,birth_date,arrival_date,district_id,engagement_feeling,media_source,social_media,messaging_app,agent_category,agent_type,influencers,relationship_cat1,relationship_cat2,relationship_cat3,relationship_cat4,meeting_place,opinion_share,opinion_change,engagement_wish,engagement_type,engagement_freq,engagement_score
2019/11/08 2:13:20 PM UTC+8,1,1,Taipei,Survey,Man,1983-06-26,2011-02-04,Zhong he,5,"Word to mouth between friends, family and neighbors;Informational websites and Internet",Nill,Line;Whatsapp;WeChat,3. Private Sector,Corporate Company (IT or Construction Industry),"Public Services;Academic Research & University;Corporate Company (IT or Construction Industry);eCommerce, Startup, Small and Medium Enterprise",Neutral,Pro (good relationship and mutual influence),Pro (good relationship and mutual influence),Contrary (bad relationship and oppositions in decision-making),Business clusters and entrepreneurial ecosystems,3,3,No,Participative Workshops,Less than one hour a year,
2019/11/08 5:35:44 PM UTC+8,2,2,Taipei,Survey,Man,2019-08-12,1994-08-12,Zhōngzhèng/中正,5,"Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );Messaging Applications (Line, WhatsApp, WeChat, Slack, Telegram ... );Informational websites and Internet",Facebook;Instagram,Line,1. Governmental & Public Sector,Individual Citizen,Government (National);Public Services,Neutral,Neutral,Neutral,Neutral,Global promotional events and forums;City Council or other Governmental Deliberative Assemblies;Online (web forums and applications),4,4,Yes,Online Survey Studies;Mobile Voting Application,One hour a month,
2019/11/09 1:49:22 PM UTC+8,3,3,Taipei,Survey,Man,1974-01-01,2002-01-01,Xizhi,4,Observation in community and surroundings,Newspaper,Whatsapp,1. Governmental & Public Sector,Individual Citizen,Individual Citizen,Neutral,Neutral,Neutral,Neutral,Online (web forums and applications);1999,3,2,Yes,"One-to-one Interviews by phone, webcall or meeting;Community Project Management",More than one hour a day,
2019/11/09 1:53:47 PM UTC+8,4,4,Taipei,Survey,Man,1975-08-18,2024-01-01,Banqiao,1,"Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );Emails and Newsletters",Facebook,Line,3. Private Sector,Corporate Company (IT or Construction Industry),"Grassroot Movement, Local Association and Non-Profit",Neutral,Neutral,Pro (good relationship and mutual influence),Neutral,Online (web forums and applications),5,4,Yes,Online Survey Studies;Mobile Voting Application;Community Project Management,One hour a month,
2019/11/09 11:27:20 PM UTC+8,5,5,Taipei,Survey,Man,1988-11-24,1988-11-24,Dàtóng/大同,6,"Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );Messaging Applications (Line, WhatsApp, WeChat, Slack, Telegram ... );Informational websites and Internet",Facebook;Youtube;Medium;LinkedIn;Instagram,Line;Slack;Facebook,3. Private Sector,"eCommerce, Startup, Small and Medium Enterprise",Government (National);Government (Local);Academic Research & University;Corporate Company (IT or Construction Industry);International NGOs and Third Sector,Pro (good relationship and mutual influence),Contrary (bad relationship and oppositions in decision-making),Pro (good relationship and mutual influence),Neutral,Neighborhood associations and district events;Global promotional events and forums;Innovation and startup support structure;City Council or other Governmental Deliberative Assemblies;Online (web forums and applications),4,3,Yes,Online Survey Studies;Participative Workshops;Mobile Voting Application,One hour a week,
2019/11/09 12:42:00 PM UTC+8,6,6,Taipei,Survey,Man,1976-09-03,1976-09-03,Xìnyì/信義,5,"Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );Messaging Applications (Line, WhatsApp, WeChat, Slack, Telegram ... );Word to mouth between friends, family and neighbors;Informational websites and Internet;Television",Facebook;LinkedIn,Line;Whatsapp;WeChat,5. Media,Individual Citizen,Individual Citizen,Contrary (bad relationship and oppositions in decision-making),Contrary (bad relationship and oppositions in decision-making),Neutral,Contrary (bad relationship and oppositions in decision-making),Online (web forums and applications),1,2,Yes,Mobile Voting Application,Less than one hour a year,
2019/11/10 10:23:36 PM UTC+8,7,7,Taipei,Survey,Man,1974-12-01,2011-11-10,Nèihú/內湖,5,"Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );Messaging Applications (Line, WhatsApp, WeChat, Slack, Telegram ... );Informational websites and Internet;Newspaper Industry (Professional Journalism);Radio",Facebook;LinkedIn;Line,Line;Telegram;Messenger,"4. Civil Society, Social and Third Sector",Individual Citizen,"Government (National);Academic Research & University;Grassroot Movement, Local Association and Non-Profit",Neutral,Pro (good relationship and mutual influence),Contrary (bad relationship and oppositions in decision-making),Pro (good relationship and mutual influence),Innovation and startup support structure;Business clusters and entrepreneurial ecosystems;Online (web forums and applications),5,4,Yes,"Online Survey Studies;Participative Workshops;One-to-one Interviews by phone, webcall or meeting;Mobile Voting Application;Community Project Management",One hour a week,
2019/11/10 2:00:13 AM UTC+8,8,8,Taipei,Survey,Man,1990-07-22,2015-09-10,Wénshān/文山,2,"Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );Messaging Applications (Line, WhatsApp, WeChat, Slack, Telegram ... );Informational websites and Internet",Facebook;Instagram,Line,"2. University Academics, Research & Innovation",Corporate Company (IT or Construction Industry),"Government (National);Grassroot Movement, Local Association and Non-Profit;International NGOs and Third Sector",Neutral,Neutral,Neutral,Neutral,Global promotional events and forums;Online (web forums and applications),2,4,Yes,Online Survey Studies;Mobile Voting Application;Community Project Management,One hour a day,
2019/11/10 2:31:09 PM UTC+8,9,9,Taipei,Survey,Man,1992-07-03,2018-05-28,Xìnyì/信義,8,"Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );Word to mouth between friends, family and neighbors;Informational websites and Internet",Facebook;Youtube;Medium,Line;Slack,3. Private Sector,Corporate Company (IT or Construction Industry),Corporate Company (IT or Construction Industry),Contrary (bad relationship and oppositions in decision-making),Neutral,Neutral,Neutral,"Innovation and startup support structure;Urban Infrastructure (Public Real-Estate, Transportation systems, Public Sport and Leisure areas)",3,4,Yes,Online Survey Studies;Participative Workshops,One hour a week,
2019/11/12 7:09:00 PM UTC+8,10,10,Taipei,Survey,Man,1982-02-16,1982-02-16,Sōngshān/松山,2,"d. Informational websites and Internet;f. Print Communication (Books, Flyers, Independent Activist Newspapers ... );i. Television",a. Facebook;c. Youtube;e. LinkedIn,a. Line,3. Private Sector,l. Individual Citizen,a. Government (National),Neutral,Neutral,Neutral,Neutral,g. Online (web forums and applications),4,2,a. Yes,a. Online Survey Studies;d. Mobile Voting Application;e. Community Project Management,c. One hour a week,
2019/11/13 11:22:55 AM UTC+8,11,11,Taipei,Survey,Man,1985-02-18,2009-08-20,Sōngshān/松山,7,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );c. Word to mouth between friends, family and neighbors;d. Informational websites and Internet",a. Facebook;c. Youtube;e. LinkedIn;f. Instagram,a. Line,3. Private Sector,"j. Grassroot Movement, Local Association and Non-Profit",g. Corporate Company (IT or Construction Industry),Pro (good relationship and mutual influence),Contrary (bad relationship and oppositions in decision-making),Pro (good relationship and mutual influence),Neutral,c. Innovation and startup support structure;d. Business clusters and entrepreneurial ecosystems,5,3,a. Yes,"c. One-to-one Interviews by phone, webcall or meeting",c. One hour a week,
2019/11/14 6:34:22 PM UTC+8,12,12,Taipei,Survey,Man,1984-11-14,2019-04-02,Wénshān/文山,9,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );b. Messaging Applications (Line, WhatsApp, WeChat, Slack, Telegram ... );c. Word to mouth between friends, family and neighbors;d. Informational websites and Internet;e. Emails and Newsletters",a. Facebook;c. Youtube;e. LinkedIn,a. Line;b. Whatsapp,"2. University Academics, Research & Innovation",e. Academic Research & University,a. Government (National);e. Academic Research & University;l. Individual Citizen,Neutral,Pro (good relationship and mutual influence),Neutral,Pro (good relationship and mutual influence),a. Neighborhood associations and district events;b. Global promotional events and forums;f. City Council or other Governmental Deliberative Assemblies,3,2,a. Yes,b. Participative Workshops;d. Mobile Voting Application;e. Community Project Management,c. One hour a week,
2019/11/15 10:00:38 AM UTC+8,13,13,Taipei,Survey,Man,1952-02-28,1999-10-15,Xìnyì/信義,1,"c. Word to mouth between friends, family and neighbors;d. Informational websites and Internet;g. Newspaper Industry (Professional Journalism)",e. LinkedIn,a. Line;b. Whatsapp;c. WeChat,3. Private Sector,"h. eCommerce, Startup, Small and Medium Enterprise","c. Public Services;h. eCommerce, Startup, Small and Medium Enterprise;l. Individual Citizen",Neutral,Neutral,Pro (good relationship and mutual influence),Neutral,d. Business clusters and entrepreneurial ecosystems,3,4,b. No,a. Online Survey Studies,d. One hour a month,
2019/11/15 10:32:51 AM UTC+8,14,14,Taipei,Survey,Man,1973-11-15,2000-01-01,Wànhuá/萬華,2,d. Informational websites and Internet,e. LinkedIn,a. Line,3. Private Sector,g. Corporate Company (IT or Construction Industry),g. Corporate Company (IT or Construction Industry),Neutral,Neutral,Neutral,Neutral,g. Online (web forums and applications),3,3,a. Yes,d. Mobile Voting Application,e. One hour a year,
2019/11/15 10:51:41 PM UTC+8,15,15,Taipei,Survey,Man,1967-09-16,1967-09-16,Wénshān/文山,2,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );b. Messaging Applications (Line, WhatsApp, WeChat, Slack, Telegram ... );d. Informational websites and Internet;e. Emails and Newsletters",a. Facebook;c. Youtube;f. Instagram,a. Line;c. WeChat,"2. University Academics, Research & Innovation",g. Corporate Company (IT or Construction Industry),"d. Financial and Founding Partner;g. Corporate Company (IT or Construction Industry);h. eCommerce, Startup, Small and Medium Enterprise",Neutral,Neutral,Neutral,Neutral,b. Global promotional events and forums;c. Innovation and startup support structure;d. Business clusters and entrepreneurial ecosystems,3,2,b. No,"a. Online Survey Studies;c. One-to-one Interviews by phone, webcall or meeting;d. Mobile Voting Application",d. One hour a month,
2019/11/15 8:51:00 AM UTC+8,16,16,Taipei,Survey,Man,1983-06-01,2012-10-31,Zhōngshān/中山,2,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );c. Word to mouth between friends, family and neighbors;d. Informational websites and Internet;e. Emails and Newsletters;g. Newspaper Industry (Professional Journalism)",c. Youtube;e. LinkedIn;f. Instagram,a. Line,3. Private Sector,g. Corporate Company (IT or Construction Industry),a. Government (National);g. Corporate Company (IT or Construction Industry),Neutral,Neutral,Neutral,Neutral,Forums or events with guest speakers,3,4,a. Yes,a. Online Survey Studies;b. Participative Workshops;d. Mobile Voting Application,d. One hour a month,
2019/11/17 4:49:38 PM UTC+8,17,17,Taipei,Survey,Man,1956-02-08,1974-09-01,Zhōngzhèng/中正,1,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );d. Informational websites and Internet;e. Emails and Newsletters;f. Print Communication (Books, Flyers, Independent Activist Newspapers ... );i. Television",a. Facebook;c. Youtube,a. Line;c. WeChat,"4. Civil Society, Social and Third Sector",l. Individual Citizen,"g. Corporate Company (IT or Construction Industry);i. Independent Designer, Architect or Developer;l. Individual Citizen",Neutral,Neutral,Neutral,Neutral,"b. Global promotional events and forums;d. Business clusters and entrepreneurial ecosystems;e. Urban Infrastructure (Public Real-Estate, Transportation systems, Public Sport and Leisure areas);f. City Council or other Governmental Deliberative Assemblies;g. Online (web forums and applications)",3,3,a. Yes,"a. Online Survey Studies;b. Participative Workshops;c. One-to-one Interviews by phone, webcall or meeting;d. Mobile Voting Application;e. Community Project Management",c. One hour a week,
2019/11/17 8:27:06 PM UTC+8,18,18,Taipei,Survey,Man,1992-08-03,1992-08-03,New Taipei City,4,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );d. Informational websites and Internet;g. Newspaper Industry (Professional Journalism);i. Television",a. Facebook;e. LinkedIn,a. Line;c. WeChat,3. Private Sector,"h. eCommerce, Startup, Small and Medium Enterprise","a. Government (National);b. Government (Local);d. Financial and Founding Partner;f. Private Research & Innovation;g. Corporate Company (IT or Construction Industry);h. eCommerce, Startup, Small and Medium Enterprise",Contrary (bad relationship and oppositions in decision-making),Neutral,Neutral,Contrary (bad relationship and oppositions in decision-making),b. Global promotional events and forums;d. Business clusters and entrepreneurial ecosystems;g. Online (web forums and applications),3,3,a. Yes,"a. Online Survey Studies;c. One-to-one Interviews by phone, webcall or meeting",b. One hour a day,
2019/11/17 8:50:47 PM UTC+8,19,19,Taipei,Survey,Man,1985-09-20,1985-09-20,Shìlín/士林,4,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );c. Word to mouth between friends, family and neighbors;i. Television",a. Facebook;e. LinkedIn;f. Instagram,d. Slack,"2. University Academics, Research & Innovation","i. Independent Designer, Architect or Developer","e. Academic Research & University;f. Private Research & Innovation;h. eCommerce, Startup, Small and Medium Enterprise",Neutral,Neutral,Neutral,Neutral,g. Online (web forums and applications),4,4,a. Yes,a. Online Survey Studies;b. Participative Workshops;e. Community Project Management,c. One hour a week,
2019/11/18 2:36:11 PM UTC+8,20,20,Taipei,Survey,Man,1980-10-20,1980-10-20,New Taipei City,3,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );d. Informational websites and Internet;e. Emails and Newsletters",a. Facebook;c. Youtube;e. LinkedIn;f. Instagram,a. Line,3. Private Sector,g. Corporate Company (IT or Construction Industry),"a. Government (National);d. Financial and Founding Partner;e. Academic Research & University;f. Private Research & Innovation;h. eCommerce, Startup, Small and Medium Enterprise",Neutral,Neutral,Pro (good relationship and mutual influence),Neutral,c. Innovation and startup support structure;d. Business clusters and entrepreneurial ecosystems;g. Online (web forums and applications),1,4,b. No,a. Online Survey Studies;b. Participative Workshops;d. Mobile Voting Application,c. One hour a week,
2019/11/19 10:52:54 PM UTC+8,21,21,Taipei,Survey,Man,1981-11-16,2012-07-01,Banchiao,7,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );b. Messaging Applications (Line, WhatsApp, WeChat, Slack, Telegram ... );e. Emails and Newsletters;i. Television",a. Facebook;c. Youtube;e. LinkedIn;f. Instagram,a. Line,3. Private Sector,l. Individual Citizen,"i. Independent Designer, Architect or Developer;j. Grassroot Movement, Local Association and Non-Profit;l. Individual Citizen",Contrary (bad relationship and oppositions in decision-making),Neutral,Pro (good relationship and mutual influence),Pro (good relationship and mutual influence),c. Innovation and startup support structure;d. Business clusters and entrepreneurial ecosystems,2,4,,b. Participative Workshops,d. One hour a month,
2019/11/21 11:57:13 AM UTC+8,22,22,Taipei,Survey,Man,1967-07-15,1985-08-01,Nèihú/內湖,8,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );b. Messaging Applications (Line, WhatsApp, WeChat, Slack, Telegram ... );d. Informational websites and Internet;g. Newspaper Industry (Professional Journalism)",a. Facebook;c. Youtube;e. LinkedIn;f. Instagram,a. Line;c. WeChat,3. Private Sector,g. Corporate Company (IT or Construction Industry),"a. Government (National);b. Government (Local);g. Corporate Company (IT or Construction Industry);h. eCommerce, Startup, Small and Medium Enterprise",Neutral,Neutral,Pro (good relationship and mutual influence),Contrary (bad relationship and oppositions in decision-making),c. Innovation and startup support structure;d. Business clusters and entrepreneurial ecosystems,4,3,a. Yes,a. Online Survey Studies;d. Mobile Voting Application,c. One hour a week,
2019/11/22 4:50:26 PM UTC+8,23,23,Taipei,Survey,Man,1999-10-20,1999-10-20,Sōngshān/松山,4,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );d. Informational websites and Internet;i. Television;j. City Council",a. Facebook;c. Youtube;e. LinkedIn;f. Instagram,a. Line,5. Media,l. Individual Citizen,g. Corporate Company (IT or Construction Industry),Neutral,Neutral,Neutral,Neutral,a. Neighborhood associations and district events,3,3,a. Yes,"c. One-to-one Interviews by phone, webcall or meeting",e. One hour a year,
2019/11/24 1:49:10 PM UTC+8,24,24,Taipei,Survey,Man,1997-01-16,1997-01-16,New Taipei City,3,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );d. Informational websites and Internet;f. Print Communication (Books, Flyers, Independent Activist Newspapers ... );g. Newspaper Industry (Professional Journalism);j. City Council",a. Facebook;c. Youtube;d. Medium;e. LinkedIn;f. Instagram,d. Slack,"2. University Academics, Research & Innovation","i. Independent Designer, Architect or Developer","e. Academic Research & University;f. Private Research & Innovation;h. eCommerce, Startup, Small and Medium Enterprise;i. Independent Designer, Architect or Developer;j. Grassroot Movement, Local Association and Non-Profit;k. International NGOs and Third Sector",Contrary (bad relationship and oppositions in decision-making),Pro (good relationship and mutual influence),Neutral,Neutral,c. Innovation and startup support structure;g. Online (web forums and applications),4,3,a. Yes,"a. Online Survey Studies;c. One-to-one Interviews by phone, webcall or meeting;e. Community Project Management",c. One hour a week,
2019/11/24 11:05:31 AM UTC+8,25,25,Taipei,Survey,Man,1980-01-01,1980-01-01,Wénshān/文山,3,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );d. Informational websites and Internet",a. Facebook,a. Line,5. Media,l. Individual Citizen,a. Government (National);b. Government (Local);c. Public Services,Neutral,Neutral,Neutral,Neutral,g. Online (web forums and applications),2,2,a. Yes,a. Online Survey Studies;d. Mobile Voting Application,d. One hour a month,
2019/11/26 9:37:04 AM UTC+8,26,26,Taipei,Survey,Man,1969-07-27,1991-03-15,New Taipei City,5,"b. Messaging Applications (Line, WhatsApp, WeChat, Slack, Telegram ... );c. Word to mouth between friends, family and neighbors;h. Radio;i. Television",a. Facebook,a. Line,3. Private Sector,g. Corporate Company (IT or Construction Industry),a. Government (National);b. Government (Local),Neutral,Neutral,Neutral,Neutral,d. Business clusters and entrepreneurial ecosystems,2,1,a. Yes,a. Online Survey Studies;b. Participative Workshops;d. Mobile Voting Application;e. Community Project Management,b. One hour a day,
2019/12/08 10:52:01 AM UTC+8,27,27,Taipei,Survey,Man,1993-05-13,1993-05-13,zingchung,10,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... )",a. Facebook;e. LinkedIn;f. Instagram,a. Line;b. Whatsapp,5. Media,"h. eCommerce, Startup, Small and Medium Enterprise",e. Academic Research & University,Neutral,Neutral,Neutral,Neutral,c. Innovation and startup support structure;d. Business clusters and entrepreneurial ecosystems;g. Online (web forums and applications),4,3,a. Yes,a. Online Survey Studies,c. One hour a week,
2019/12/09 6:13:05 PM UTC+8,28,28,Taipei,Survey,Man,1990-02-01,2015-06-15,Dà'ān/大安,8,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );c. Word to mouth between friends, family and neighbors;d. Informational websites and Internet;e. Emails and Newsletters;f. Print Communication (Books, Flyers, Independent Activist Newspapers ... );g. Newspaper Industry (Professional Journalism);j. City Council",a. Facebook;b. Twitter;c. Youtube;d. Medium;e. LinkedIn;f. Instagram,a. Line;Facebook Messenger,1. Governmental & Public Sector,b. Government (Local),"b. Government (Local);h. eCommerce, Startup, Small and Medium Enterprise;j. Grassroot Movement, Local Association and Non-Profit;k. International NGOs and Third Sector",Pro (good relationship and mutual influence),Neutral,Neutral,Pro (good relationship and mutual influence),c. Innovation and startup support structure;f. City Council or other Governmental Deliberative Assemblies;g. Online (web forums and applications),5,3,a. Yes,"a. Online Survey Studies;b. Participative Workshops;c. One-to-one Interviews by phone, webcall or meeting;d. Mobile Voting Application;e. Community Project Management",b. One hour a day,
2020/02/16 12:34:59 PM UTC+3,29,29,Tel Aviv,Survey,Man,1954-04-03,2014-01-01,רמת אביב א' Ramat Aviv Aleph,1,"c. Word to mouth between friends, family and neighbors;e. Emails and Newsletters",c. Youtube;e. LinkedIn,b. Whatsapp;c. WeChat;e. Telegram,3. Private Sector,d. Financial and Founding Partner,"j. Grassroot Movement, Local Association and Non-Profit",Contrary (bad relationship and oppositions in decision-making),Neutral,Neutral,Pro (good relationship and mutual influence),g. Online (web forums and applications),3,4,b. No,e. Community Project Management,e. One hour a year,
2020/02/16 4:48:54 PM UTC+3,30,30,Tel Aviv,Survey,Man,1986-07-05,2014-01-01,לב העיר  Lev HaIr,10,"a. Social Medias (Facebook, Twitter, Youtube, LinkedIn, Instagram ... );b. Messaging Applications (Line, WhatsApp, WeChat, Slack, Telegram ... );c. Word to mouth between friends, family and neighbors;d. Informational websites and Internet;e. Emails and Newsletters;f. Print Communication (Books, Flyers, Independent Activist Newspapers ... )",a. Facebook;b. Twitter;e. LinkedIn;f. Instagram,b. Whatsapp,"4. Civil Society, Social and Third Sector",c. Public Services,a. Government (National);f. Private Research & Innovation;g. Corporate Company (IT or Construction Industry),Pro (good relationship and mutual influence),Pro (good relationship and mutual influence),Neutral,Neutral,c. Innovation and startup support structure;d. Business clusters and entrepreneurial ecosystems;f. City Council or other Governmental Deliberative Assemblies,3,4,a. Yes,e. Community Project Management,f. Less than one hour a year,
